image_url,labels,labels_crops,source,status,img_path
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/fad6e562-f889-579c-a891-58cbccd4fcb2.jpg,sweatshirt,"[106, 166, 999, 1341]","outerwear style training data,,top style training data,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/8fcaaf45-e877-5da2-94fd-918ff6bd4649.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/8044adb8-8f80-5bcc-affe-32a82a77e1dc.jpg,blouses,"[80, 70, 293, 351]","top style training data,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/58c6ac4b-5d3d-5a9d-a1c6-41330d995268.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/34456b9f-7f6d-5bc4-916d-b2df122941c4.jpg,sweatshirt,"[22, 0, 498, 461]","outerwear style training data,,top style training data,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/51fdc84b-8948-5fbf-a882-7620bca7cf75.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/488fbc39-d5f3-5eaf-9056-ca93934d0912.jpg,tank_tops,"[42, 42, 301, 438]","top style training data,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/01b33d74-1692-58ae-9fed-dfe69b87ceed.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f07d4dda-dbb6-56fe-b70f-7f3eac266085.jpg,tshirts,"[15, 10, 226, 301]","top style training data,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/77e950c2-0afc-5ae2-a7a0-ffabe7f32173.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/c8388eb2-2a66-5e85-a5ff-82082b17c3dd.jpg,tshirts,"[48, 66, 325, 470]","top style training data,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/5377a95d-9492-5261-b693-2fdbfa54133d.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f4f7d646-236d-52ad-8cbf-2f7abf8c46a7.jpg,tshirts,"[13, 156, 863, 1258]","percentil,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/aa145125-8fff-5139-a520-830ea70b1af0.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/26af5604-2b2b-5e59-8018-72ac869af37b.jpg,sweaters,"[6, 54, 339, 447]","top style training data,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/250296ca-f274-5d0d-ab95-aa30096c6e64.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/26af5604-2b2b-5e59-8018-72ac869af37b.jpg,sweaters,"[13, 34, 327, 465]","top style training data,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/250296ca-f274-5d0d-ab95-aa30096c6e64.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/0b765f28-3ade-5ec9-a945-01243cadb9fe.jpg,sweaters,"[91, 120, 860, 1297]","percentil,,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/791ab7e4-e8b6-5c56-a1fc-a06d81edde7a.jpg
