image_url,labels_crops,labels,img_path,status
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/01c39f46-19ca-5e1c-a954-91e3ca1ae112.jpg,"[175, 46, 584, 1024]",slim,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/8f0c7e3d-1fad-5e21-a4f4-f4bf8acf15ae.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d97c7941-7945-57b8-99c8-561451ff48b4.jpg,"[196, 88, 578, 1024]",skinny,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/a9d6a8a5-358d-5490-8f8f-076358ab2198.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/508f0e78-f276-5747-a3e5-8151166f7cf3.jpg,"[162, 74, 587, 1024]",slim,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/122f61f1-f469-52f2-a3aa-15a202e79c1c.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/179a4119-e8f8-57c1-876d-3cd76898a012.jpg,"[171, 100, 625, 1024]",straight,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/15bda3a0-c183-5db0-b1d7-a8f0b830a224.jpg,val
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/62801bde-4212-5fb5-a249-7da58fb6cb53.jpg,"[174, 118, 553, 1024]",bootcut,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/c9947aa0-7a3d-5ee3-9128-388ddde63651.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/23bff0c9-a464-5457-8164-ac91c8b8352e.jpg,"[190, 108, 534, 1024]",straight,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/0f27f8f3-3ef6-594a-858c-c47f1bf198a4.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b0a10861-85e3-5339-b319-8dc3529506bd.jpg,"[220, 105, 561, 1024]",skinny,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/df9ccb52-6db1-569b-9c63-992afb82dea8.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/17dc11f8-c28b-554c-82d1-7478ef6cd9b9.jpg,"[215, 89, 559, 990]",slim,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/2b55343f-c614-5fba-b11d-dd3b47f76ce2.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/50dd0f67-9b42-5ce7-b4c6-17f4f25e1e2e.jpg,"[196, 100, 578, 1024]",bootcut,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/fdb9759c-3b2d-5bd6-8e19-44f994269d00.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b998e794-2860-562c-8696-7f4f5d2bc916.jpg,"[176, 106, 561, 946]",straight,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/caf79173-c24f-551f-90de-9dbaa2aa57bb.jpg,val
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e7da71f2-68fb-5c09-a46e-9ff9c3107362.jpg,"[188, 102, 563, 1024]",straight,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/ec6320d1-ceac-5b98-b10a-859e846a8919.jpg,train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9fb10535-87a8-5728-8fd5-caa07ad120ca.jpg,"[200, 92, 536, 1024]",bootcut,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/8120273e-a7bf-5146-8f70-ecb941de5662.jpg,val
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d7fc49d4-c7a4-57c3-835f-66af999e9324.jpg,"[183, 102, 558, 1024]",straight,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantFit/PantFit_v7/images/d0937dbe-5408-542d-b2de-5fe9382e67a1.jpg,train
