image_url,img_path,labels,labels_crops,status
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3d2e90b8-5779-57c8-91d8-cb1017fc5294.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/404304e4-1be6-5e81-964a-8b1e45021dda.jpg,palazzo,"[451, 666, 1349, 2198]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/133c7720-2755-5c48-93d4-844adc11f843.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/3bdee658-8b1a-542c-af4b-9c50861e13c0.jpg,palazzo,"[584, 683, 1267, 2242]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/00766342-2bee-572a-b87c-f6d7f1f19dbe.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/e088066e-6d84-52f0-b8c8-87967ccde459.jpg,palazzo,"[402, 77, 1239, 2071]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/42b4a05a-a475-57d7-8f26-5e092e485d0c.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/68fe9e87-5392-583e-a3e8-5072c7edbc1b.jpg,sweatpants,"[358, 137, 1388, 2143]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a5369dcf-3bb8-5596-91fb-b8fe17532b17.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/ffc21295-1789-5e69-b507-be54766b0203.jpg,trouser,"[584, 931, 1157, 2077]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e209ed49-ba15-5816-9d0b-1ac8ac352223.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/015a06cc-a1bf-57bc-89ad-3e612959949c.jpg,palazzo,"[484, 203, 1261, 2209]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/7f80ad51-104c-5998-b29a-635b721892a4.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/40fd0b11-3c93-57d8-81ae-19e8dae42d36.jpg,palazzo,"[490, 33, 1289, 2231]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/88a5f0ab-8547-5810-81cc-823d8a6a2285.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/21e7dc66-0307-59a1-a48f-b0fcb676a244.jpg,trouser,"[225, 99, 1487, 2148]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4451b48e-1e01-556c-a602-4f6cf040761d.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/37cdc3b6-946a-5334-bdf8-7e1ee7c1b38c.jpg,trouser,"[369, 137, 1377, 2137]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1b67fd9b-d5e7-5c18-814b-714304be6cf7.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/9152abaf-29f8-572d-b2d7-168f043277bf.jpg,trouser,"[189, 88, 560, 1024]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9570515b-ce6d-5903-ba28-a5012eb1be81.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/07f4c8e4-a37a-51a8-ac74-54f3a3c77f33.jpg,trouser,"[193, 111, 570, 1024]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e006282d-6205-589e-9b94-38a9a67c9ce7.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/9fb1cf65-a222-5079-9232-ae126530046c.jpg,cannot_determine,"[1, 0, 250, 394]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1ac2b19d-a325-5ea6-9957-598a38e8468a.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/f34f3cdc-1fc3-524e-b6a9-575b7d783ab7.jpg,trouser,"[203, 79, 541, 1024]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/978c5ea5-63f9-57d5-b456-7e73e7be5265.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/dbabdfd4-0ed8-5925-ad96-75344994f441.jpg,leggings,"[545, 121, 1223, 1944]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/72fa27a0-4bcd-5c80-9d80-66d3fad05682.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/84f90cb5-ecd1-5599-942a-c127e252723a.jpg,leggings,"[64, 4, 376, 798]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/be8cb118-8a26-5bc9-9c50-f0c4cc7d6e33.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/09e4faa6-1481-5c29-b15f-f3202e4eff01.jpg,sweatpants,"[97, 11, 487, 554]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9dcd6e59-566e-5101-a18b-9c2281c68aea.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/c592e103-a010-5e4e-8bd8-271b70c7cbc9.jpg,sweatpants,"[100, 24, 307, 539]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9ab3ce1c-e95b-517d-af15-d3c354c51101.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/7dff4201-7374-501d-a88e-5629f0cc646d.jpg,cargo,"[46, 139, 267, 566]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5e81c92e-3b9a-5895-99aa-eda3517e5927.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/85221977-646d-5732-8c32-d5682b975b6b.jpg,cannot_determine,"[18, 0, 213, 219]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5c298901-2bca-515f-b00a-7daf89ee7a8e.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/054e5f4e-a018-51f2-a264-904cf4d55ef7.jpg,trouser,"[199, 80, 567, 1024]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e8e42c03-5ae3-5c0c-b6f3-11050e1244d0.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/7ce706fd-e2b2-5d44-8109-365876ab4a38.jpg,trouser,"[183, 82, 573, 1001]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e31e1ee0-9311-5677-9562-7fe106637fe5.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/fa3c6921-50d0-5d64-8b9d-386428f77230.jpg,trouser,"[160, 16, 388, 552]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e04c8cf9-3a1b-5c7e-a623-30dded7c3cb8.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/bc619123-2091-5eb8-9bb6-995ebe0b7746.jpg,sweatpants,"[19, 22, 148, 330]",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d2828fa6-6fcc-55c8-bef9-d204d2e3eb6f.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/PantsStyle/PantsStyle_v8/images/cbaa3939-54cc-53bb-a4ff-ac1d2242a875.jpg,cargo,"[262, 48, 733, 850]",train
