img_path,labels,labels_crops,source,image_url,status
/mnt/train_hdd4/TRAINING_DATA/images/7b35bb5f-2167-56c8-aeba-803ed589ad41.jpg,pumps,"[27, 146, 330, 353]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/745dca72-f954-58c7-bb9b-f00459e65950.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/98eea1d7-7c8b-5e93-ab4d-1c46854d8065.jpg,pumps,"[57, 69, 466, 396]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/31415d49-3033-55de-80c7-fc54752a27dc.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/f3591476-21d7-55a3-b5ed-e2f55576225f.jpg,pumps,"[29, 177, 443, 388]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/c637b49b-df83-52ae-a832-6a54498cd295.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/33cd7813-06d0-54e9-9b68-e609797422b1.jpg,pumps,"[43, 69, 423, 411]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/e722f56b-a813-5202-b39a-9761f9a839d1.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/e0f5ab6b-2115-59a7-9949-87cc3da303cd.jpg,pumps,"[31, 288, 631, 567]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/f5fed1ae-48be-5408-b7db-6bb9c0236218.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/18c3cf81-55cb-5360-b0cf-c34af98f1dcc.jpg,pumps,"[36, 111, 435, 394]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/0c9de1b0-2550-568c-b8e2-47a1a3308239.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/b52285eb-8080-5be9-a252-763962040546.jpg,pumps,"[17, 9, 343, 238]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/69845079-7b17-514e-a83c-93734fa72cb0.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/5d953599-950a-5d6e-8f58-a3ede0815d84.jpg,pumps,"[19, 155, 309, 388]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/543d44a6-4afd-59fe-821e-4b73804b7a16.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/3455a2c0-8956-5b2f-a847-3affc619b590.jpg,pumps,"[49, 110, 296, 338]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/61bc230a-2e66-547b-9d8c-7c0081808bc9.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/0fca730a-e0b3-50dd-a259-2ec510902cd6.jpg,pumps,"[6, 154, 341, 342]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/e31c3c4b-f06a-5dee-8924-0f20eb6f3908.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/9a6ad6a8-af23-5540-a921-81a91e674f46.jpg,pumps,"[29, 3, 252, 200]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/ee997a71-6a26-5918-a9bb-8e78a6d0639a.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/c0618b39-f748-5be1-858c-90f78c7f9015.jpg,pumps,"[14, 150, 452, 397]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/34b1af88-e7df-5e70-a082-4f8480612e67.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/2ab54696-7012-50fe-b7ac-f21ebddc3a85.jpg,pumps,"[24, 123, 335, 363]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/295766b5-8f85-54a0-b28e-b5e4c7a33d32.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/3dfdc9ee-94e1-5937-bb3e-4076a115be9b.jpg,pumps,"[55, 131, 416, 401]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/84e112aa-f705-5d44-81cf-fe7f1f448436.jpg,train
/mnt/train_hdd4/TRAINING_DATA/images/cc03ae03-58ef-520a-a4b9-d0e944cddc37.jpg,pumps,"[25, 187, 298, 341]",FootwearType_v6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/981918a5-9b33-5289-b810-743cf83e0764.jpg,train
